Location,Herd,Proposed_Location,Tag,Markings,Sex,Notes,birth_date,age_in_months,organic,Dam,Sire
Dairy Barn,Wet Dairy,Dairy,*Orina,Jersey NT, ,,2/5/20,42,Natural,Oleah,Shaggy-P
Two Rivers,Finishers,Gourly,*Gogo,Jersey,Heifer,,2/25/20,42,Natural,Ginger,I Man
Two Rivers,Finishers,Gourly,2010,JerseyXAngus,Heifer,,3/16/20,41,Natural,Ida,1608/1610
North Owens,Breeding,Gourly,*Holly-Q,JerseyXAngus Holly Quin,Heifer,"Due 3/21/23- ????, by Ivano/Hercules",3/19/20,41,Natural,Hermosita,1609
Dairy Barn,Wet Dairy,Dairy,*Mirtha,Jersey A2/A2,Heifer,,4/9/20,40,Natural,Matilda,Avon-Kay-P
Two Rivers,Finishers,Gourly,2030,JerseyXDevonXGalloway,Steer,NO TAG,5/20/20,39,Natural,Rosie-P,Galloway
North Owens,Breeding,Gourly,*Jasmine,Jersey A2/A2,Heifer,"Due 3/21/23- ????, by Ivano/Hercules",6/1/20,38,Natural,Jade,I Man?
Highpass,Gestating Dairy,Gourly,*Sirena,Jersey,Heifer,"Due 8/10/10-10/19/23, by Ivano",11/18/20,33,Natural,Sri Lanka,Domino
Highpass,Gestating Dairy,Gourly,*Stella,Jersey-A2/A2,Heifer,"Due 8/10/23-10/19/23, by Ivano",11/20/20,33,Natural,Sweet,Domino
North Maternity,Bulls,Gourly,2031,Jersey-A2/A2,Bull,,12/14/20,32,Natural,Ivy,Domino
North Maternity,Bulls,Gourly,2033,Jersey-A2/A2,Bull,,12/19/20,32,Natural,Imogen,Domino
Highpass,Gestating Dairy,Gourly,*Ivory,,Heifer,"Due 8/10/10- 10/19/23, by Ivano",12/25/20,32,Natural,Izzy,Domino
Two Rivers,Finishers,Gourly,2036,A2/A2 Born Big,Steer,,12/26/20,32,Natural,Henni P,I. Man
Highpass,Gestating Dairy,Gourly,*Halo,Jersey-A2/A2,Heifer,"Due 8/10/10- 10/19/23, by Ivano",1/2/21,31,Natural,Heidi,Domino
North Maternity,Bulls,Gourly,2102,Jersey A1,Bull,DO NOT BREED ,1/14/21,31,Natural,Ophelia,I. Man
Highpass,Gestating Dairy,Gourly,*Blue 2103,Jersey-A2/A2,Heifer,"Due 8/10/10- 10/19/23, by Ivano",1/17/21,31,Natural,Bombay,Domino
Highpass,Gestating Dairy,Gourly,*Lady McB,Jersey- A1,Heifer,"NO TAG Exposed to Ivano, due 12/28/23-2/8/24",2/4/21,30,Natural,Osiria,I. Man
North Maternity,Bulls,Gourly,Orian,Jersey- A1,Bull,NO TAG Do not breed ,4/11/21,28,Natural,Oleah,Rafael
Highpass,Gestating Dairy,Gourly,*Quan Yin,Jersey X Galloway,Heifer,"NO TAG Exposed to Ivano, due 12/28/23-2/8/24",5/18/21,27,Natural,Quince,Everett
North Maternity,Bulls,Gourly,2137,DevonXJerseyXGalloway,Bull,Jade X Everett bull calf,9/14/21,23,Natural,Jade,Everett
North Maternity,Bulls,Gourly,2201,Jersey,Steer,broke in with bulls,1/16/22,19,Natural,Hermosita,Domino
Two Rivers,Finishers,Gourly,2202,Jersey,Steer,,1/21/22,19,Natural,Butter,Domino
North Owens,Breeding,Gourly,2203 Hercules,Jersey Pf/H A2/A2,Bull,,1/23/22,19,Natural,Hibiscus,Domino
Two Rivers,Finishers,Gourly,2204,Jersey H/H A2/A2,Steer,Twin w/2205,1/25/22,19,Natural,Imogen,Domino
North Maternity,Bulls,Gourly,2205 Iago,Jersey Pf/H A2/A2,Bull,Twin w/2204,1/25/22,19,Natural,Imogen,Domino
Two Rivers,Finishers,Gourly,2206,Jersey,Steer,,1/30/22,19,Natural,Ophelia,Domino
Two Rivers,Finishers,Gourly,Luciana,Jersey Pf/H A2/A2,Heifer,Lucy,2/9/22,18,Natural,Osiria,Domino
Two Rivers,Finishers,Gourly,2207,Jersey H/H A2/A2,Steer,,2/19/22,18,Natural,Ivy,Domino
Two Rivers,Finishers,Gourly,2208,JerseyX Beef?,Steer,,3/1/22,17,Natural,Hazelnut,Beef??
Two Rivers,Finishers,Gourly,2211,Jersey,Steer,,4/3/22,16,Natural,Olive,?
Two Rivers,Finishers,Gourly,Hypatia,Jersey w/ white marks,Heifer,,4/14/22,16,Natural,Heidi,Ivano
North Maternity,Bulls,Gourly,2217,Jersey,Steer,1 teste up DO NOT BREED,4/18/22,16,Natural,H. Penni,?
Two Rivers,Finishers,Gourly,*Layla,Jersey white tip on tail,Heifer,,5/20/22,15,Natural,Olivia,Ivano
Two Rivers,Finishers,Gourly,*Lavender,Jersey,Heifer,,5/26/22,15,Natural,Oleah,Ivano
Two Rivers,Finishers,Gourly,*Beverly,Jersey,Heifer,,7/24/22,13,Natural,Belen,Domino
Two Rivers,Finishers,Gourly,*Billie,Jersey,Heifer,,8/11/22,12,Natural,Bombay,Domino
Maternity,Nurse Herd,Gourly,*Lilac,Jersey,Heifer,Nursing on Jade,9/9/22,11,Natural,Olga,Domino
Maternity,Nurse Herd,Gourly,*Josie,Jersey,Heifer,"Exposed to Ivano/Hercules, if settles due 4/9/24. TEENAGE PREGNANCY!!!",10/5/22,10,Natural,Jade,Domino
North Owens,Breeding,Gourly,2240-NO TAG?,Jersey,Steer,nursing on Isela,10/27/22,10,Natural,Roxie,Domino
North Owens,Breeding,Gourly,2301,Jersey,Steer,Nursing on Holly,1/6/23,7,Natural,Holly Q,Domino
North Owens,Breeding,Gourly,2302,Jersey,Steer,nursing on Isela,1/8/23,7,Natural,Ginger,Domino
North Owens,Breeding,Gourly,2304,Jersey,Steer,nursing on Isela,2/24/23,6,Natural,Mirtha,2033/2031
North Owens,Breeding,Gourly,Juno,Jersey,Heifer,Nursing on Josephina,3/7/23,5,Natural,Josephina,2033/2031/2102
North Owens,Breeding,Gourly,Jenni,Jersey,Heifer,faint white  sox nursing on Jasime,3/8/23,5,Natural,Jasmine,2033/2031/2102
North Owens,Breeding,Gourly,Caulifower,Jersey,Heifer,white band on all 4 legs Nursing on ?????,3/31/23,5,Natural,Catalan,Domino
North Owens,Breeding,Gourly,Hanalei,Jersey,Heifer,nursing on Hibiscus,4/3/23,4,Natural,Hibiscus,Ivano
North Owens,Breeding,Gourly,2314,Jersey,Steer,nursing on ????,4/12/23,4,Natural,Ivy,Everette
North Owens,Breeding,Gourly,Hawthorn,Jersey,Heifer,nursing on Heidi,4/14/23,4,Natural,Hiedi,Ivano
North Owens,Breeding,Gourly,2318,Jersey,Steer,Light nursing on ????,4/19/23,4,Natural,Imogen,Ivano
North Owens,Breeding,Gourly,Rhubarb,Jersey,Heifer,nursing on Reyna,4/26/23,4,Natural,Reyna,2033/2031/2102
Maternity,Nurse Herd,Gourly,2342,Jersey,Steer,White heart on head,4/30/23,4,Natural,Izzy,Ivano
Dairy Barn,Wet Dairy,,Quartz,Jersey,Heifer,,5/8/23,3,Natural,Quesa,Ivano
Maternity,Nurse Herd,Gourly,2341,Jersey,Steer,,5/21/23,3,Natural,Bea,Ivano
Maternity,Nurse Herd,Gourly,2344,Jersey,Steer,Twin,5/26/23,3,Natural,Osiria,Ivano
Maternity,Nurse Herd,Gourly,2345,Jersey,Heifer,Twin Freemartin,5/26/23,3,Natural,Osiria,Ivano
Dairy Barn,Wet Dairy,,Lyric,Jersey,Heifer,,6/7/23,2,Natural,Olivia,Ivano
Maternity,Nurse Herd,Gourly,2347,Jersey,Steer,Born Big,6/11/23,2,Natural,Oleah,Ivano
Maternity,Nurse Herd,Gourly,Sage,Jersey,,Cresent moom on forehead,6/14/23,2,Natural,Silk,???
Maternity,Nurse Herd,Gourly,2349,Jersey,Steer,,7/3/23,1,Natural,Italy,Ivano
North Hay,Main Herd,Ryan,G41,RWF- 1/2 belty,Cow,,9/11/11,143,OTCO,E17,Galloway?
North Hay,Main Herd,Ryan,H04,RWF,Cow,,2/9/12,138,OTCO,C51,
North Hay,Main Herd,Ryan,i99,"Black, torn R-ear,fiesty",Cow,,1/2/16,91,OTCO,??,
North Hay,Main Herd,Ryan,1607,Black-Calm,Cow,,1/6/16,91,OTCO,H21?,Pericles
North Hay,Main Herd,Ryan,1722,Light red,Cow,,2/26/17,78,OTCO,G41,Tapatio
North Hay,Main Herd,Ryan,1725,Red,Cow,,3/1/17,77,OTCO,????,Tapatio
North Hay,Main Herd,Ryan,1803,"Black NO TAG, white on udder",Cow,,2/11/18,66,OTCO,D04,1608or9
North Hay,Main Herd,Ryan,1805,Black,Cow,,2/11/18,66,OTCO,E99,1608or9
North Hay,Main Herd,Ryan,1809B,Brown-Grey WF-NO TAG,Cow,,2/17/18,66,OTCO,D12,1608or9
North Hay,Main Herd,Ryan,1810,Black NO TAG,Cow,,2/18/18,66,OTCO,E20,1608or9
North Hay,Main Herd,Ryan,1812,Black NO TAG,Cow,,2/20/18,66,OTCO,H04,1608or9
North Hay,Main Herd,Ryan,1813,BWF-NO TAG,Cow,,2/21/18,66,OTCO,H18,1608or9
North Hay,Main Herd,Ryan,1814,Black,Cow,,2/22/18,66,OTCO,D05,1608or9
North Hay,Main Herd,Ryan,1815,Brown-Grey-trble in squeeze,Cow,,2/23/18,66,OTCO,G25,1608or9
North Hay,Main Herd,Ryan,1816,RWF w/spots- Lost tag?,Cow,,2/23/18,66,OTCO,H23,1608or9
North Hay,Main Herd,Ryan,1899,Red-NO TAG,Cow,,3/4/18,65,OTCO,????,????
North Hay,Main Herd,Ryan,1902,Black,Cow,,2/10/19,54,OTCO,E20,1608/1609
North Hay,Main Herd,Ryan,1905,Black,Cow,,2/14/19,54,OTCO,i21,1608/1609
North Hay,Main Herd,Ryan,1904,Black,Cow,,2/14/19,54,OTCO,D05,1608/1609
North Hay,Main Herd,Ryan,1909,Black,Cow,,2/17/19,54,OTCO,H18,1608/1609
North Hay,Main Herd,Ryan,1912,BWF ,Cow,,2/20/19,54,OTCO,H12,1608/1609
North Hay,Main Herd,Ryan,1903,Grey,Cow,,2/20/19,54,OTCO,G25,1608/1609
North Hay,Main Herd,Ryan,1921,BWF,Cow,,3/12/19,53,OTCO,D04,1608/1609
North Hay,Main Herd,Ryan,1924,BWF,Cow,,4/11/19,52,OTCO,H23,1608/1609
Two Rivers,Finishers,Ryan,2001,Black,Heifer,Skinny nursed on Matilda,11/26/19,45,OTCO,E28,Winchester
North Hay,Main Herd,Ryan,2005,Black Brocco,Cow,,3/10/20,41,OTCO,H16,1608/1609
North Hay,Main Herd,Ryan,2006,Black born small,Cow,,3/10/20,41,OTCO,i12,1608/1609
North Hay,Main Herd,Ryan,2015,Black,Cow,Stillborn in 2023,3/22/20,41,OTCO,1607,1608/1609
North Hay,Main Herd,Ryan,2017,Grey w/white dot,Cow,,3/22/20,41,OTCO,G25,1608/1609
North Hay,Main Herd,Ryan,2019,Black NO TAG ???,Cow,,3/23/20,41,OTCO,H35,1608/1609
North Hay,Main Herd,Ryan,2025,Black,Cow,,3/28/20,41,OTCO,E16,1608/1609
North Maternity,Bulls,Mohawk,2028,White w/ black dots,Bull,NO TAG moved to Main 6/30/22 Everest,5/12/20,39,OTCO,1719,Everett
Two Rivers,Finishers,Back Barn,2125,Grey,Heifer,2023 yr replacement possibility,2/4/21,30,OTCO,1701,Everette
Two Rivers,Finishers,Back Barn,2104,White w/black points,Heifer,,4/7/21,28,OTCO,1813,Everette
Two Rivers,Finishers,Back Barn,2106,Black,Heifer,2023 yr replacement possibility,4/12/21,28,OTCO,Rosie,1818
Two Rivers,Finishers,Back Barn,2107,Silver,Heifer,,4/12/21,28,OTCO,1501,Everett
North Maternity,Bulls,Gourly,2105,White w/brown tips,Bull,,4/12/21,28,OTCO,1819,Everett
Two Rivers,Finishers,Back Barn,2108,Black,Heifer,,4/15/21,28,OTCO,1718,1818
Two Rivers,Finishers,Back Barn,2109,White,Heifer,2023 yr replacement possibility,4/16/21,28,OTCO,1719,Everett
Two Rivers,Finishers,Back Barn,2115,Gray,Steer,,4/17/21,28,OTCO,1722,1818
Two Rivers,Finishers,Back Barn,2116,White w/tips,Heifer,2023 yr replacement possibility,4/17/21,28,OTCO,1725,Everett
Two Rivers,Finishers,Back Barn,2111,White w/ brown ears,Heifer,2023 yr replacement possibility,4/18/21,28,OTCO,1899,Everett
Two Rivers,Finishers,Back Barn,2112,Black,Cow,,4/18/21,28,OTCO,i99,1818
Two Rivers,Finishers,Back Barn,2114,Black,Heifer,,4/18/21,28,OTCO,1816,Everett
Two Rivers,Finishers,Back Barn,2113,Black,Steer,,4/19/21,28,OTCO,i21,1818
Two Rivers,Finishers,Back Barn,2117,Black,Steer,"Maybe a twin, difficulty identifying mom",4/19/21,28,OTCO,H12 ??,1818
Two Rivers,Finishers,Back Barn,2118,Black,Heifer,,4/20/21,28,OTCO,G41,1818
Two Rivers,Finishers,Back Barn,2120,Black (blind right eye),Steer,,4/22/21,28,OTCO,1502,Everett
Two Rivers,Finishers,Back Barn,2119,Brown-Grey WF,Steer,,4/22/21,28,OTCO,1809B,Galloway
Two Rivers,Finishers,Back Barn,2122,Black,Steer,,4/25/21,28,OTCO,H18,1818
Two Rivers,Finishers,Back Barn,2121,Black,Steer,,4/25/21,28,OTCO,1812,Everette
Two Rivers,Finishers,Back Barn,2123,BWF,Steer,,4/27/21,28,OTCO,H04,1818
Two Rivers,Finishers,Back Barn,2124,White w/ Brown tips,Heifer,,4/28/21,28,OTCO,1815,Everette
Two Rivers,Finishers,Back Barn,2128,White w/black spots,Heifer,,4/30/21,28,OTCO,1809,Everette
Two Rivers,Finishers,Back Barn,2127,Black,Heifer,,4/30/21,28,OTCO,1810,Everett
North Maternity,Bulls,Gourly,2126,Black,Stag,Mixed w/ some dairy heifers & other in back barn Jan 2/1/23-2/2023,4/30/21,28,OTCO,1805,Everett
Two Rivers,Finishers,Back Barn,2129,White w/ brown tips,Steer,,5/6/21,27,OTCO,1823,Everett
North Maternity,Bulls,Gourly,2130,Black,Bull,,5/7/21,27,OTCO,1814,Everett
Two Rivers,Finishers,Back Barn,2131,Black,Steer,,5/9/21,27,OTCO,1803,Everett
Two Rivers,Finishers,Back Barn,2132,White w/ black tips,Steer,,6/1/21,26,OTCO,1607,Everett
Two Rivers,Finishers,Back Barn,2133,Black,Steer,,6/4/21,26,OTCO,H35,1818
Two Rivers,Finishers,Back Barn,2135,White w/brown ears,Steer,,6/14/21,26,OTCO,H12,Everett
Two Rivers,Finishers,Back Barn,2134,White w/Black tips,Heifer,LOST TAG,6/17/21,26,OTCO,i12,Everett
Two Rivers,Finishers,Back Barn,2138,White,Heifer,,11/15/21,21,OTCO,H16,Everett
Red Tail,Finishers,Back Barn,2209,White w/points,Heifer,twin,3/28/22,17,OTCO,1719,Everette
Red Tail,Finishers,Back Barn,2210,White w/points,Heifer,twin,3/28/22,17,OTCO,1719,Everette
Red Tail,Finishers,Back Barn,2212,Red,Heifer,,4/7/22,16,OTCO,1902,Everette
Red Tail,Finishers,Back Barn,2213,Brwn-Red,Steer,,4/8/22,16,OTCO,1904,Everette
Red Tail,Finishers,Back Barn,2214,W/red tips,Heifer,,4/11/22,16,OTCO,1899,Everette
Red Tail,Finishers,Back Barn,2216,White,Steer,,4/14/22,16,OTCO,1809B,Everett
Red Tail,Finishers,Back Barn,2215,w/tips,Steer,mom had whte spots on head but no tag,4/14/22,16,OTCO,1816,Everette
Red Tail,Finishers,Back Barn,2218,Red,Steer,,4/19/22,16,OTCO,1722,Everette
Red Tail,Finishers,Back Barn,2220,Red,Heifer,,4/20/22,16,OTCO,1903,Everette
Red Tail,Finishers,Back Barn,2219,White w/Red tips,Heifer,,4/20/22,16,OTCO,1912,Everette
North Hay,Main Herd,Back Barn,2322,White w/Tips,Heifer,,4/21/22,16,OTCO,1812,Everette/Everest
Red Tail,Finishers,Back Barn,2221,"White, Black tip",Steer,,4/21/22,16,OTCO,i99,Everette
Red Tail,Finishers,Back Barn,2222,Black,Heifer,,4/21/22,16,OTCO,1803,Everette
Red Tail,Finishers,Back Barn,2223,White w/black tips,Heifer,,4/23/22,16,OTCO,1921,Everette
Red Tail,Finishers,Back Barn,2224,White w/black tips,Steer,,4/23/22,16,OTCO,1814,Everette
Red Tail,Finishers,Back Barn,2227,Brown,Steer,,4/25/22,16,OTCO,H04,Everette
Red Tail,Finishers,Back Barn,2228,Black,Steer,,4/25/22,16,OTCO,1909,Everette
Red Tail,Finishers,Back Barn,2226,Black,Heifer,,4/25/22,16,OTCO,1812,Everette
Red Tail,Finishers,Back Barn,2230,Black,Steer,,5/2/22,15,OTCO,1725,Everette
Red Tail,Finishers,Back Barn,2232,Brown/Black,Heifer,,5/3/22,15,OTCO,1815,Everette
Red Tail,Finishers,Back Barn,2231,Black,Steer,,5/3/22,15,OTCO,1810,Everette
Red Tail,Finishers,Back Barn,2233,Black,Heifer,,5/8/22,15,OTCO,1805,Everette
Red Tail,Finishers,Back Barn,2234,Black,Heifer,,5/8/22,15,OTCO,1813,Everett
Red Tail,Finishers,Back Barn,2236,White w/Tips,Steer,,5/8/22,15,OTCO,1809,Everett
Red Tail,Finishers,Back Barn,2235,Red,Heifer,,5/8/22,15,OTCO,1607,Everett
Red Tail,Finishers,Back Barn,2237,White w/tips,Steer,,5/8/22,15,OTCO,1905,Everett
Red Tail,Finishers,Back Barn,2238,White w/Tips,Steer,,5/12/22,15,OTCO,1906,Everette
Red Tail,Finishers,Back Barn,2239,Brown,Steer,,5/18/22,15,OTCO,G41,Everette
North Hay,Main Herd,Main Barn,2305,Black,Steer,,4/3/23,4,OTCO,1904,Everette/Everest
North Hay,Main Herd,Main Barn,2306,White w/ Tips,Heifer,,4/5/23,4,OTCO,1905,Everette & Son
North Hay,Main Herd,Main Barn,2307,White w/tips,Heifer,,4/6/23,4,OTCO,1815,Everette/Everest
North Hay,Main Herd,Main Barn,2308,white w/Tips,Heifer,,4/8/23,4,OTCO,1607,Everette/Everest
North Hay,Main Herd,Main Barn,2309,Black,Steer,,4/10/23,4,OTCO,1809,Everette/Everest
North Hay,Main Herd,Main Barn,2311,Black,Steer,,4/11/23,4,OTCO,1805,Everette/Everest
North Hay,Main Herd,Main Barn,2310,White w/ Tips,Heifer,,4/11/23,4,OTCO,1903,Everette/Everest
North Hay,Main Herd,Main Barn,2313,White,Heifer,,4/12/23,4,OTCO,1809B,Everette/Everest
North Hay,Main Herd,Main Barn,2312,Black,Heifer,,4/12/23,4,OTCO,2019,Everette/Everest
North Hay,Main Herd,Main Barn,2315,BWF,Heifer,,4/14/23,4,OTCO,1813,Everette/Everest
North Hay,Main Herd,Main Barn,2316,White w/ Tips,Steer,,4/17/23,4,OTCO,1902,Everette/Everest
North Hay,Main Herd,Main Barn,2317,Black w/ White marks on head,Steer,,4/19/23,4,OTCO,1921,Everette/Everest
North Hay,Main Herd,Main Barn,2321,White w/ Tips,Steer,,4/21/23,4,OTCO,H04,Everette/Everest
North Hay,Main Herd,Main Barn,2323,Brown ,Heifer,,4/21/23,4,OTCO,1803,Everette/Everest
North Hay,Main Herd,Main Barn,2320,BWF,Steer,,4/21/23,4,OTCO,1912,Everette/Everest
North Hay,Main Herd,Main Barn,2319,BWF,Heifer,,4/21/23,4,OTCO,1924,Everette/Everest
North Hay,Main Herd,Main Barn,2324,White w/ Tips,Steer,,4/23/23,4,OTCO,1909,Everette/Everest
North Hay,Main Herd,Main Barn,2326,Black,Steer,Possibly a stag Robert will check,4/25/23,4,OTCO,1816,Everette/Everest
North Hay,Main Herd,Main Barn,2325,Brown,Steer,,4/25/23,4,OTCO,1933,Everette/Everest
North Hay,Main Herd,Main Barn,2327,Black,Steer,,4/28/23,4,OTCO,1501,Everette/Everest
North Hay,Main Herd,Main Barn,2330,White w/ Tips,Steer,,4/28/23,4,OTCO,1932,Everette/Everest
North Hay,Main Herd,Main Barn,2328,Light Brown,Steer,,4/28/23,4,OTCO,2017,Everette/Everest
North Hay,Main Herd,Main Barn,2331,Brown Grey,Heifer,,5/1/23,3,OTCO,1722,Everette/Everest
North Hay,Main Herd,Main Barn,2334,White w/tips,Heifer,,5/5/23,3,OTCO,i99,Everette/Everest
North Hay,Main Herd,Main Barn,2333,White w/ Tips,Heifer,,5/5/23,3,OTCO,2005,Everette/Everest
North Hay,Main Herd,Main Barn,2332,Black,Heifer,,5/5/23,3,OTCO,2006,Everette/Everest
North Hay,Main Herd,Main Barn,2335,Dark Brown,Steer,,5/6/23,3,OTCO,2025,Everette/Everest
North Hay,Main Herd,Main Barn,2336,Red,Steer,,5/8/23,3,OTCO,1725,Everette/Everest
North Hay,Main Herd,Main Barn,2337,White w/tips,Steer,,5/9/23,3,OTCO,1719,Everette/Everest
North Hay,Main Herd,Main Barn,2338,Black,Heifer,,5/9/23,3,OTCO,1810,Everette/Everest
North Hay,Main Herd,Main Barn,2339,White w/ Tips,Heifer,,5/10/23,3,OTCO,G41,Everette/Everest
North Hay,Main Herd,Main Barn,2340,White w/tips,Heifer,,5/10/23,3,OTCO,1814,Everette/Everest
North Hay,Main Herd,Main Barn,2343,Dark Brown,Steer,,5/24/23,3,OTCO,1899,Everette/Everest
North Hay,Main Herd,Main Barn,2346,Black,Heifer,,6/3/23,2,OTCO,1502,Everette/Everest
